ID,Year,Site,Lat,Lon,Sex,Days in lab,RBM,AGD.c,TotalVocalizations,note_num,call_length,trill_rate,call_Hz_max,call_Hz_min,call_BW_mean,call_BW_max,call_DF,entropy
SGTm094,2016,QERC,9.55262,-83.80635,M,2,-1.443197759,-0.864542051,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm095,2016,QERC,9.55262,-83.80635,M,3,-0.861384148,-0.303632731,1,87.5,7.02,12.5,62561.05,8775,27782.6,53750,31787.55,-4.525
SGTm096,2016,QERC,9.55262,-83.80635,M,3,-2.443197759,-0.584087391,2,76,5.675,13.35,42724.6,8775,25799.3,33950,27188.65,-4.195
SGTm097,2016,QERC,9.55262,-83.80635,M,4,-2.234104565,-0.864542051,8,73.375,5.56,13.875,62084.2125,8392.5,30171.15,53700,21696.3375,-4.62875
SGTm098,2016,QERC,9.55262,-83.80635,M,NA,-2.02501137,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm099,2016,QERC,9.55262,-83.80635,M,3,0.347709046,-1.986360691,4,75,5.105,14.96666667,43614.71667,10310,24049.53333,33333.33333,24137.26667,-4.933333333
SGTm100,2016,QERC,9.55262,-83.80635,M,4,1.556802241,0.257276589,6,83.27272727,7.447272727,11.06181818,41753.59091,9438.181818,23589.46364,32309.09091,24650.33636,-4.427272727
SGTm101,2016,QERC,9.55262,-83.80635,M,5,0.243162449,-0.303632731,4,68.2,6.368,10.74,64086.9,8698,26207.12,55380,23803.26,-4.26
SGTm102,2016,QERC,9.55262,-83.80635,M,5,-2.443197759,-0.864542051,8,85.75,7.38,11.60916667,45394.9,8706.666667,25195.79167,36683.33333,25060.7,-4.311666667
SGTm103,2016,QERC,9.55262,-83.80635,M,3,2.556802241,-0.864542051,7,87.5,6.4025,13.65,68283.075,8582.5,29938.4,59675,18499.6,-4.7925
SGTm104,2016,QERC,9.55262,-83.80635,M,3,0.765895435,0.257276589,1,80,7.36,10.9,38147,8390,20341.9,29800,18052,-4.88
SGTm105,2016,QERC,9.55262,-83.80635,M,2,-1.652290954,-0.864542051,1,72,6.79,10.6,79345.7,7630,36366.8,71700,21892.8,-4.01
SGTm106,2016,QERC,9.55262,-83.80635,M,2,0.347709046,-1.425451371,0,84,6.9,12.2,38147,9920,23605.7,28200,22023.9,-4.28
SGTm108,2016,QERC,9.55262,-83.80635,M,4,0.138615852,0.257276589,4,83.5,6.915,12.075,50354,7820,25121.475,42525,20405.8,-4.7775
SGTm109,2016,QERC,9.55262,-83.80635,M,4,0.347709046,0.818185909,4,75.2,6.656,11.32,61187.76,7782,25462.42,53400,22484.22,-4.18
SGTm111,2016,QERC,9.55262,-83.80635,M,4,-1.234104565,-0.864542051,3,56,5.17,10.6725,82588.2,6485,26093.25,76100,20810.575,-4.665
SGTm112,2016,QERC,9.55262,-83.80635,M,2,0.556802241,-0.864542051,1,25,1.26,19.9,35858.2,10700,22125.2,25200,22354.7,-4.77
SGTm113,2016,QERC,9.55262,-83.80635,M,2,0.556802241,0.257276589,5,82.5,7.185,11.195,51116.925,9730,29888.45,41400,29601.25,-4.5975
SGTm114,2016,QERC,9.55262,-83.80635,M,3,-4.861384148,-0.023178071,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm115,2016,QERC,9.55262,-83.80635,M,3,-3.652290954,0.818185909,6,65.6,4.456,15.48,80413.84,7172,32145.36,73240,26714.64,-4.034
SGTm116,2016,QERC,9.55262,-83.80635,M,2,0.347709046,-0.303632731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm117,2016,CC,-9.55435,-83.80546,M,2,-2.443197759,-0.303632731,6,64.57142857,5.751142857,12.25714286,39890.82857,8500,25136.87143,31371.42857,24229.67143,-4.367142857
SGTm118,2016,CC,-9.55435,-83.80546,M,2,0.556802241,-0.303632731,0,50.5,4.055,14.4,49972.55,8775,24378.35,41200,22688.5,-4.675
SGTm119,2016,CC,-9.55435,-83.80546,M,2,-1.443197759,1.379095229,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm121,2016,CC,-9.55435,-83.80546,M,2,0.556802241,0.818185909,11,64.25,6.81,9.2525,49209.6,9540,23931.725,39650,20330.3,-4.49
SGTm123,2016,CC,-9.55435,-83.80546,M,3,0.556802241,0.257276589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm124,2016,CC,-9.55435,-83.80546,M,2,1.556802241,-0.864542051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
